timestamp,framework,model,quantization,cache_state,cell_label,task_id,turn_idx,phase,phase_ms,cpu_mw,gpu_mw,dram_mw,total_mw,extra
20260515 08:42:51,trtllm,Llama-3.2-1B,fp16,on,swebench_live_trtllm,0,0,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:42:51,trtllm,Llama-3.2-1B,fp16,on,swebench_live_trtllm,0,0,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:42:51,trtllm,Llama-3.2-1B,fp16,on,swebench_live_trtllm,0,0,prefill,615.319,2499,19415,2595,31555,"{""prompt_tokens"": 4058, ""cached_tokens"": 0, ""cache_hit_rate"": 0.0, ""sys"": {""gpu_util"": 66, ""gpu_util_max"": 99, ""cpu_util"": 7, ""cpu_util_max"": 25, ""emc_util"": 6, ""emc_util_max"": 18, ""emc_bw_gb_s"": 6.88, ""emc_freq_mhz"": 3199, ""gpu_temp_c"": 52.2, ""cpu_temp_c"": 52.6}, ""dominant"": ""GPU"", ""cpu_share"": 0.114, ""resource_class"": ""gpu_compute"", ""gpu_sat"": true, ""cpu_sat_1core"": false}"
20260515 08:42:51,trtllm,Llama-3.2-1B,fp16,on,swebench_live_trtllm,0,0,decode,132.359,2499,19415,2595,31555,"{""gen_tokens"": 7, ""tpot_est_ms"": 22.06, ""sys"": {""gpu_util"": 66, ""gpu_util_max"": 99, ""cpu_util"": 7, ""cpu_util_max"": 25, ""emc_util"": 6, ""emc_util_max"": 18, ""emc_bw_gb_s"": 6.88, ""emc_freq_mhz"": 3199, ""gpu_temp_c"": 52.2, ""cpu_temp_c"": 52.6}, ""dominant"": ""GPU"", ""cpu_share"": 0.114, ""resource_class"": ""gpu_memory"", ""gpu_sat"": true, ""cpu_sat_1core"": false}"
20260515 08:42:51,trtllm,Llama-3.2-1B,fp16,on,swebench_live_trtllm,0,0,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:42:51,trtllm,Llama-3.2-1B,fp16,on,swebench_live_trtllm,0,0,parse_action,0.089,0,0,0,0,"{""action"": ""bash"", ""fan_out"": 1, ""actions"": [""bash""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:42:51,trtllm,Llama-3.2-1B,fp16,on,swebench_live_trtllm,0,0,tool_exec,0.072,0,0,0,0,"{""action"": ""bash"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 34, ""is_user_sim"": false, ""setup_ms"": null, ""subprocess_ms"": null, ""io_ms"": null, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.0022, ""exit_code"": null, ""stdout_bytes"": null, ""stderr_bytes"": null, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""sys"": {""gpu_util"": 0, ""gpu_util_max"": 0, ""cpu_util"": 0, ""cpu_util_max"": 0, ""emc_util"": 0, ""emc_util_max"": 0, ""emc_bw_gb_s"": 0, ""emc_freq_mhz"": 3199, ""gpu_temp_c"": 0, ""cpu_temp_c"": 0}, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""cpu_subprocess"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:42:51,trtllm,Llama-3.2-1B,fp16,on,swebench_live_trtllm,0,0,format_obs,0.008,0,0,0,0,"{""history_len"": 4, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:42:51,trtllm,Llama-3.2-1B,fp16,on,swebench_live_trtllm,0,1,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:42:51,trtllm,Llama-3.2-1B,fp16,on,swebench_live_trtllm,0,1,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
