timestamp,framework,model,quantization,cache_state,cell_label,task_id,turn_idx,phase,phase_ms,cpu_mw,gpu_mw,dram_mw,total_mw,extra
20260515 08:18:15,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,0,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:18:15,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,0,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:18:15,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,0,prefill,520.446,2169,23316,3420,37010,"{""prompt_tokens"": 4057, ""cached_tokens"": 0, ""cache_hit_rate"": 0.0, ""sys"": {""gpu_util"": 78, ""gpu_util_max"": 99, ""cpu_util"": 5, ""cpu_util_max"": 16, ""emc_util"": 11, ""emc_util_max"": 26, ""emc_bw_gb_s"": 11.9, ""emc_freq_mhz"": 3199, ""gpu_temp_c"": 51.0, ""cpu_temp_c"": 51.4}, ""dominant"": ""GPU"", ""cpu_share"": 0.085, ""resource_class"": ""gpu_compute"", ""gpu_sat"": true, ""cpu_sat_1core"": false}"
20260515 08:18:15,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,0,decode,393.317,2169,23316,3420,37010,"{""gen_tokens"": 20, ""tpot_est_ms"": 20.701, ""sys"": {""gpu_util"": 78, ""gpu_util_max"": 99, ""cpu_util"": 5, ""cpu_util_max"": 16, ""emc_util"": 11, ""emc_util_max"": 26, ""emc_bw_gb_s"": 11.9, ""emc_freq_mhz"": 3199, ""gpu_temp_c"": 51.0, ""cpu_temp_c"": 51.4}, ""dominant"": ""GPU"", ""cpu_share"": 0.085, ""resource_class"": ""gpu_memory"", ""gpu_sat"": true, ""cpu_sat_1core"": false}"
20260515 08:18:15,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,0,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:18:15,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,0,parse_action,0.143,0,0,0,0,"{""action"": ""list_dir"", ""fan_out"": 1, ""actions"": [""list_dir""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:18:15,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,0,tool_exec,0.97,0,0,0,0,"{""action"": ""list_dir"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 839, ""is_user_sim"": false, ""setup_ms"": 0.1512, ""subprocess_ms"": null, ""io_ms"": 0.7467, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.0023, ""exit_code"": null, ""stdout_bytes"": null, ""stderr_bytes"": null, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""sys"": {""gpu_util"": 0, ""gpu_util_max"": 0, ""cpu_util"": 0, ""cpu_util_max"": 0, ""emc_util"": 0, ""emc_util_max"": 0, ""emc_bw_gb_s"": 0, ""emc_freq_mhz"": 3199, ""gpu_temp_c"": 0, ""cpu_temp_c"": 0}, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""cpu_inmem"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:18:15,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,0,format_obs,0.007,0,0,0,0,"{""history_len"": 4, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:18:15,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,1,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:18:15,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,1,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:18:15,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,1,prefill,87.023,2214,19726,3911,34936,"{""prompt_tokens"": 4394, ""cached_tokens"": 4057, ""cache_hit_rate"": 0.9233, ""sys"": {""gpu_util"": 73, ""gpu_util_max"": 99, ""cpu_util"": 7, ""cpu_util_max"": 16, ""emc_util"": 26, ""emc_util_max"": 33, ""emc_bw_gb_s"": 26.89, ""emc_freq_mhz"": 3199, ""gpu_temp_c"": 49.6, ""cpu_temp_c"": 51.8}, ""dominant"": ""GPU"", ""cpu_share"": 0.101, ""resource_class"": ""gpu_compute"", ""gpu_sat"": true, ""cpu_sat_1core"": false}"
20260515 08:18:15,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,1,decode,403.352,2214,19726,3911,34936,"{""gen_tokens"": 21, ""tpot_est_ms"": 20.168, ""sys"": {""gpu_util"": 73, ""gpu_util_max"": 99, ""cpu_util"": 7, ""cpu_util_max"": 16, ""emc_util"": 26, ""emc_util_max"": 33, ""emc_bw_gb_s"": 26.89, ""emc_freq_mhz"": 3199, ""gpu_temp_c"": 49.6, ""cpu_temp_c"": 51.8}, ""dominant"": ""GPU"", ""cpu_share"": 0.101, ""resource_class"": ""gpu_memory"", ""gpu_sat"": true, ""cpu_sat_1core"": false}"
20260515 08:18:15,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,1,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:18:15,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,1,parse_action,0.138,0,0,0,0,"{""action"": ""edit_file"", ""fan_out"": 1, ""actions"": [""edit_file""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260515 08:18:15,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,1,tool_exec,0.191,0,0,0,0,"{""action"": ""edit_file"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 42, ""is_user_sim"": false, ""setup_ms"": 0.1424, ""subprocess_ms"": null, ""io_ms"": null, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.0014, ""exit_code"": null, ""stdout_bytes"": null, ""stderr_bytes"": null, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""sys"": {""gpu_util"": 0, ""gpu_util_max"": 0, ""cpu_util"": 0, ""cpu_util_max"": 0, ""emc_util"": 0, ""emc_util_max"": 0, ""emc_bw_gb_s"": 0, ""emc_freq_mhz"": 3199, ""gpu_temp_c"": 0, ""cpu_temp_c"": 0}, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""cpu_io"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
