timestamp,framework,model,quantization,cache_state,cell_label,task_id,turn_idx,phase,phase_ms,cpu_mw,gpu_mw,dram_mw,total_mw,extra
20260705 17:56:24,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 17:56:24,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 17:56:24,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,prefill,56789.234,10333,5946,0,23820,"{""prompt_tokens"": 4057, ""cached_tokens"": 0, ""cache_hit_rate"": 0.0, ""dominant"": ""MIX"", ""cpu_share"": 0.635, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 17:56:24,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,decode,133705.14,10333,5946,0,23820,"{""gen_tokens"": 25, ""tpot_est_ms"": 5571.047, ""dominant"": ""MIX"", ""cpu_share"": 0.635, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 17:56:24,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 17:56:24,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,parse_action,0.109,0,0,0,0,"{""action"": ""list_dir"", ""fan_out"": 1, ""actions"": [""list_dir""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 17:56:24,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,tool_exec,1.663,0,0,0,0,"{""action"": ""list_dir"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 839, ""is_user_sim"": false, ""setup_ms"": 0.1008, ""subprocess_ms"": null, ""io_ms"": 1.5111, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.0015, ""exit_code"": null, ""stdout_bytes"": null, ""stderr_bytes"": null, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""cpu_inmem"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 17:56:24,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,format_obs,0.006,0,0,0,0,"{""history_len"": 4, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 17:56:24,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 17:56:24,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 17:56:24,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,prefill,47.798,13185,12491,0,36910,"{""prompt_tokens"": 4399, ""cached_tokens"": 4057, ""cache_hit_rate"": 0.9223, ""dominant"": ""MIX"", ""cpu_share"": 0.514, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 17:56:24,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,decode,242.09,13185,12491,0,36910,"{""gen_tokens"": 21, ""tpot_est_ms"": 12.104, ""dominant"": ""MIX"", ""cpu_share"": 0.514, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
