timestamp,framework,model,quantization,cache_state,cell_label,task_id,turn_idx,phase,phase_ms,cpu_mw,gpu_mw,dram_mw,total_mw,extra
20260708 16:32:59,pytorch,Llama-3.2-1B,fp16,on,swebench_live_pytorch,6,0,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 16:32:59,pytorch,Llama-3.2-1B,fp16,on,swebench_live_pytorch,6,0,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 16:32:59,pytorch,Llama-3.2-1B,fp16,on,swebench_live_pytorch,6,0,prefill,2875.975,3108,19269,4178,36135,"{""prompt_tokens"": 3176, ""cached_tokens"": 0, ""cache_hit_rate"": 0.0, ""dominant"": ""GPU"", ""cpu_share"": 0.139, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 16:32:59,pytorch,Llama-3.2-1B,fp16,on,swebench_live_pytorch,6,0,decode,65726.186,3108,19269,4178,36135,"{""gen_tokens"": 570, ""tpot_est_ms"": 115.512, ""dominant"": ""GPU"", ""cpu_share"": 0.139, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 16:32:59,pytorch,Llama-3.2-1B,fp16,on,swebench_live_pytorch,6,0,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 16:32:59,pytorch,Llama-3.2-1B,fp16,on,swebench_live_pytorch,6,0,parse_action,0.033,0,0,0,0,"{""action"": ""list_dir"", ""fan_out"": 1, ""actions"": [""list_dir""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 16:32:59,pytorch,Llama-3.2-1B,fp16,on,swebench_live_pytorch,6,0,tool_exec,1.028,0,0,0,0,"{""action"": ""list_dir"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 941, ""is_user_sim"": false, ""setup_ms"": 0.157, ""subprocess_ms"": null, ""io_ms"": 0.7925, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.002, ""exit_code"": null, ""stdout_bytes"": null, ""stderr_bytes"": null, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""cpu_inmem"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 16:32:59,pytorch,Llama-3.2-1B,fp16,on,swebench_live_pytorch,6,0,format_obs,0.01,0,0,0,0,"{""history_len"": 4, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 16:32:59,pytorch,Llama-3.2-1B,fp16,on,swebench_live_pytorch,6,1,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 16:32:59,pytorch,Llama-3.2-1B,fp16,on,swebench_live_pytorch,6,1,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
