timestamp,framework,model,quantization,cache_state,cell_label,task_id,turn_idx,phase,phase_ms,cpu_mw,gpu_mw,dram_mw,total_mw,extra
20260708 18:51:57,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,0,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:51:57,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,0,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:51:57,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,0,prefill,1620.742,3111,28898,6984,52502,"{""prompt_tokens"": 3136, ""cached_tokens"": 0, ""cache_hit_rate"": 0.0, ""dominant"": ""GPU"", ""cpu_share"": 0.097, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:51:57,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,0,decode,17143.182,3111,28898,6984,52502,"{""gen_tokens"": 352, ""tpot_est_ms"": 48.841, ""dominant"": ""GPU"", ""cpu_share"": 0.097, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:51:57,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,0,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:51:57,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,0,parse_action,0.032,0,0,0,0,"{""action"": ""list_dir"", ""fan_out"": 1, ""actions"": [""list_dir""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:51:57,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,0,tool_exec,1.032,0,0,0,0,"{""action"": ""list_dir"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 941, ""is_user_sim"": false, ""setup_ms"": 0.1623, ""subprocess_ms"": null, ""io_ms"": 0.7867, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.0025, ""exit_code"": null, ""stdout_bytes"": null, ""stderr_bytes"": null, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""cpu_inmem"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:51:57,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,0,format_obs,0.01,0,0,0,0,"{""history_len"": 4, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:51:57,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,1,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:51:57,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,1,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:51:57,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,1,prefill,305.035,3055,27874,7229,52022,"{""prompt_tokens"": 3529, ""cached_tokens"": 3299, ""cache_hit_rate"": 0.9021, ""dominant"": ""GPU"", ""cpu_share"": 0.099, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:51:57,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,1,decode,28581.456,3055,27874,7229,52022,"{""gen_tokens"": 539, ""tpot_est_ms"": 53.125, ""dominant"": ""GPU"", ""cpu_share"": 0.099, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:51:57,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,1,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:51:57,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,1,parse_action,0.041,0,0,0,0,"{""action"": ""view_file"", ""fan_out"": 1, ""actions"": [""view_file""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
