timestamp,framework,model,quantization,cache_state,cell_label,task_id,turn_idx,phase,phase_ms,cpu_mw,gpu_mw,dram_mw,total_mw,extra
20260708 18:34:12,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,0,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:34:12,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,0,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:34:12,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,0,prefill,5795.18,3002,24215,5791,44804,"{""prompt_tokens"": 3136, ""cached_tokens"": 0, ""cache_hit_rate"": 0.0, ""dominant"": ""GPU"", ""cpu_share"": 0.11, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:34:12,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,0,decode,13529.306,3002,24215,5791,44804,"{""gen_tokens"": 352, ""tpot_est_ms"": 38.545, ""dominant"": ""GPU"", ""cpu_share"": 0.11, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:34:12,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,0,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:34:12,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,0,parse_action,0.035,0,0,0,0,"{""action"": ""list_dir"", ""fan_out"": 1, ""actions"": [""list_dir""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:34:12,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,0,tool_exec,1.029,0,0,0,0,"{""action"": ""list_dir"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 941, ""is_user_sim"": false, ""setup_ms"": 0.1721, ""subprocess_ms"": null, ""io_ms"": 0.7741, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.0023, ""exit_code"": null, ""stdout_bytes"": null, ""stderr_bytes"": null, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""cpu_inmem"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:34:12,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,0,format_obs,0.01,0,0,0,0,"{""history_len"": 4, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:34:12,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,1,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:34:12,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,1,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:34:12,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,1,prefill,307.095,3046,28091,7218,52182,"{""prompt_tokens"": 3529, ""cached_tokens"": 3299, ""cache_hit_rate"": 0.9021, ""dominant"": ""GPU"", ""cpu_share"": 0.098, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 18:34:12,sglang,Llama-3.2-1B,fp16,on,swebench_live_sglang,6,1,decode,28517.528,3046,28091,7218,52182,"{""gen_tokens"": 539, ""tpot_est_ms"": 53.007, ""dominant"": ""GPU"", ""cpu_share"": 0.098, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
