timestamp,framework,model,quantization,cache_state,cell_label,task_id,turn_idx,phase,phase_ms,cpu_mw,gpu_mw,dram_mw,total_mw,extra
20260708 04:17:18,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,0,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 04:17:18,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,0,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 04:17:18,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,0,prefill,1762.419,2992,24180,5824,44938,"{""prompt_tokens"": 3876, ""cached_tokens"": 0, ""cache_hit_rate"": 0.0, ""dominant"": ""GPU"", ""cpu_share"": 0.11, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 04:17:18,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,0,decode,76258.059,2992,24180,5824,44938,"{""gen_tokens"": 1096, ""tpot_est_ms"": 69.642, ""dominant"": ""GPU"", ""cpu_share"": 0.11, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 04:17:18,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,0,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 04:17:18,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,0,parse_action,0.035,0,0,0,0,"{""action"": ""list_dir"", ""fan_out"": 1, ""actions"": [""list_dir""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 04:17:18,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,0,tool_exec,1.049,0,0,0,0,"{""action"": ""list_dir"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 863, ""is_user_sim"": false, ""setup_ms"": 0.1856, ""subprocess_ms"": null, ""io_ms"": 0.7787, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.0024, ""exit_code"": null, ""stdout_bytes"": null, ""stderr_bytes"": null, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""cpu_inmem"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 04:17:18,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,0,format_obs,0.01,0,0,0,0,"{""history_len"": 4, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 04:17:18,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,1,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 04:17:18,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm,0,1,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
