timestamp,framework,model,quantization,cache_state,cell_label,task_id,turn_idx,phase,phase_ms,cpu_mw,gpu_mw,dram_mw,total_mw,extra
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,0,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,0,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,0,prefill,83433.34,18390,35031,0,70039,"{""prompt_tokens"": 0, ""cached_tokens"": 0, ""cache_hit_rate"": 0.0, ""dominant"": ""MIX"", ""cpu_share"": 0.344, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,0,decode,0.0,18390,35031,0,70039,"{""gen_tokens"": 0, ""tpot_est_ms"": 0.0, ""dominant"": ""MIX"", ""cpu_share"": 0.344, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,0,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,0,parse_action,0.01,0,0,0,0,"{""action"": ""respond"", ""fan_out"": 1, ""actions"": [""respond""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,0,tool_exec,0.025,0,0,0,0,"{""action"": ""respond"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 20, ""is_user_sim"": false, ""setup_ms"": null, ""subprocess_ms"": null, ""io_ms"": null, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.0011, ""exit_code"": null, ""stdout_bytes"": null, ""stderr_bytes"": null, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,0,format_obs,0.005,0,0,0,0,"{""history_len"": 4, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,1,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,1,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,1,prefill,4289.512,18234,33945,0,68669,"{""prompt_tokens"": 0, ""cached_tokens"": 0, ""cache_hit_rate"": 0.0, ""dominant"": ""MIX"", ""cpu_share"": 0.349, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,1,decode,0.0,18234,33945,0,68669,"{""gen_tokens"": 0, ""tpot_est_ms"": 0.0, ""dominant"": ""MIX"", ""cpu_share"": 0.349, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,1,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,1,parse_action,0.009,0,0,0,0,"{""action"": ""respond"", ""fan_out"": 1, ""actions"": [""respond""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,1,tool_exec,0.028,0,0,0,0,"{""action"": ""respond"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 20, ""is_user_sim"": false, ""setup_ms"": null, ""subprocess_ms"": null, ""io_ms"": null, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.0018, ""exit_code"": null, ""stdout_bytes"": null, ""stderr_bytes"": null, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,1,format_obs,0.004,0,0,0,0,"{""history_len"": 6, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,2,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,2,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,2,prefill,15469.603,18723,35314,0,71015,"{""prompt_tokens"": 0, ""cached_tokens"": 0, ""cache_hit_rate"": 0.0, ""dominant"": ""MIX"", ""cpu_share"": 0.346, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,2,decode,0.0,18723,35314,0,71015,"{""gen_tokens"": 0, ""tpot_est_ms"": 0.0, ""dominant"": ""MIX"", ""cpu_share"": 0.346, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,2,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,2,parse_action,0.008,0,0,0,0,"{""action"": ""respond"", ""fan_out"": 1, ""actions"": [""respond""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,2,tool_exec,0.032,0,0,0,0,"{""action"": ""respond"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 20, ""is_user_sim"": false, ""setup_ms"": null, ""subprocess_ms"": null, ""io_ms"": null, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.001, ""exit_code"": null, ""stdout_bytes"": null, ""stderr_bytes"": null, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,2,format_obs,0.003,0,0,0,0,"{""history_len"": 8, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,3,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,3,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,3,prefill,14703.664,18760,35284,0,71075,"{""prompt_tokens"": 0, ""cached_tokens"": 0, ""cache_hit_rate"": 0.0, ""dominant"": ""MIX"", ""cpu_share"": 0.347, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,3,decode,0.0,18760,35284,0,71075,"{""gen_tokens"": 0, ""tpot_est_ms"": 0.0, ""dominant"": ""MIX"", ""cpu_share"": 0.347, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,3,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,3,parse_action,0.007,0,0,0,0,"{""action"": ""respond"", ""fan_out"": 1, ""actions"": [""respond""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,3,tool_exec,0.028,0,0,0,0,"{""action"": ""respond"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 20, ""is_user_sim"": false, ""setup_ms"": null, ""subprocess_ms"": null, ""io_ms"": null, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.0009, ""exit_code"": null, ""stdout_bytes"": null, ""stderr_bytes"": null, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,3,format_obs,0.003,0,0,0,0,"{""history_len"": 10, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,4,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,4,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 20:16:47,llamacpp,Llama-3.2-1B,fp16,on,swebench_live_llamacpp_thor,0,4,prefill,82327.343,18844,35503,0,71451,"{""prompt_tokens"": 0, ""cached_tokens"": 0, ""cache_hit_rate"": 0.0, ""dominant"": ""MIX"", ""cpu_share"": 0.347, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
