timestamp,framework,model,quantization,cache_state,cell_label,task_id,turn_idx,phase,phase_ms,cpu_mw,gpu_mw,dram_mw,total_mw,extra
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,prefill,45637.004,10050,5099,0,22287,"{""prompt_tokens"": 3880, ""cached_tokens"": 0, ""cache_hit_rate"": 0.0, ""dominant"": ""MIX"", ""cpu_share"": 0.663, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,decode,105738.617,10050,5099,0,22287,"{""gen_tokens"": 20, ""tpot_est_ms"": 5565.19, ""dominant"": ""MIX"", ""cpu_share"": 0.663, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,parse_action,0.017,0,0,0,0,"{""action"": ""list_dir"", ""fan_out"": 1, ""actions"": [""list_dir""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,tool_exec,1.741,0,0,0,0,"{""action"": ""list_dir"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 891, ""is_user_sim"": false, ""setup_ms"": 0.1067, ""subprocess_ms"": null, ""io_ms"": 1.5811, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.0012, ""exit_code"": null, ""stdout_bytes"": null, ""stderr_bytes"": null, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""cpu_inmem"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,format_obs,0.006,0,0,0,0,"{""history_len"": 4, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,prefill,104.869,17125,19470,0,52316,"{""prompt_tokens"": 4291, ""cached_tokens"": 4057, ""cache_hit_rate"": 0.9193, ""dominant"": ""MIX"", ""cpu_share"": 0.468, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,decode,919.501,17125,19470,0,52316,"{""gen_tokens"": 25, ""tpot_est_ms"": 38.313, ""dominant"": ""MIX"", ""cpu_share"": 0.468, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,parse_action,0.021,0,0,0,0,"{""action"": ""grep"", ""fan_out"": 1, ""actions"": [""grep""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,tool_exec,67.35,15350,14562,0,43787,"{""action"": ""grep"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 6000, ""is_user_sim"": false, ""setup_ms"": 0.0923, ""subprocess_ms"": 67.2155, ""io_ms"": null, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.0009, ""exit_code"": 0, ""stdout_bytes"": 18959, ""stderr_bytes"": 0, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""dominant"": ""MIX"", ""cpu_share"": 0.513, ""resource_class"": ""cpu_inmem"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,format_obs,0.006,0,0,0,0,"{""history_len"": 6, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,2,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260708 02:08:47,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,2,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
