timestamp,framework,model,quantization,cache_state,cell_label,task_id,turn_idx,phase,phase_ms,cpu_mw,gpu_mw,dram_mw,total_mw,extra
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,prefill,45571.497,13731,10778,0,35998,"{""prompt_tokens"": 3876, ""cached_tokens"": 0, ""cache_hit_rate"": 0.0, ""dominant"": ""MIX"", ""cpu_share"": 0.56, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,decode,182696.856,13731,10778,0,35998,"{""gen_tokens"": 2048, ""tpot_est_ms"": 89.251, ""dominant"": ""MIX"", ""cpu_share"": 0.56, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,parse_action,0.01,0,0,0,0,"{""action"": ""respond"", ""fan_out"": 1, ""actions"": [""respond""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,tool_exec,0.026,0,0,0,0,"{""action"": ""respond"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 20, ""is_user_sim"": false, ""setup_ms"": null, ""subprocess_ms"": null, ""io_ms"": null, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.0011, ""exit_code"": null, ""stdout_bytes"": null, ""stderr_bytes"": null, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,0,format_obs,0.004,0,0,0,0,"{""history_len"": 4, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,prefill,65.934,20922,21194,0,62227,"{""prompt_tokens"": 3897, ""cached_tokens"": 4057, ""cache_hit_rate"": 0.9949, ""dominant"": ""MIX"", ""cpu_share"": 0.497, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,decode,58209.2,20922,21194,0,62227,"{""gen_tokens"": 1512, ""tpot_est_ms"": 38.524, ""dominant"": ""MIX"", ""cpu_share"": 0.497, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,parse_action,0.017,0,0,0,0,"{""action"": ""grep"", ""fan_out"": 1, ""actions"": [""grep""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,tool_exec,64.374,16327,16127,0,47544,"{""action"": ""grep"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 46, ""is_user_sim"": false, ""setup_ms"": 0.1025, ""subprocess_ms"": 64.2268, ""io_ms"": null, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.0009, ""exit_code"": 1, ""stdout_bytes"": 0, ""stderr_bytes"": 0, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""dominant"": ""MIX"", ""cpu_share"": 0.503, ""resource_class"": ""cpu_inmem"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,1,format_obs,0.005,0,0,0,0,"{""history_len"": 6, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,2,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,2,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,2,prefill,72.393,18314,18493,0,53981,"{""prompt_tokens"": 3959, ""cached_tokens"": 4078, ""cache_hit_rate"": 0.9879, ""dominant"": ""MIX"", ""cpu_share"": 0.498, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,2,decode,1102.88,18314,18493,0,53981,"{""gen_tokens"": 30, ""tpot_est_ms"": 38.03, ""dominant"": ""MIX"", ""cpu_share"": 0.498, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,2,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,2,parse_action,0.131,0,0,0,0,"{""action"": ""grep"", ""fan_out"": 1, ""actions"": [""grep""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,2,tool_exec,13.193,0,0,0,0,"{""action"": ""grep"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 41, ""is_user_sim"": false, ""setup_ms"": 0.1013, ""subprocess_ms"": 13.0528, ""io_ms"": null, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.0007, ""exit_code"": 1, ""stdout_bytes"": 0, ""stderr_bytes"": 0, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""cpu_inmem"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,2,format_obs,0.006,0,0,0,0,"{""history_len"": 8, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,3,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,3,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,3,prefill,66.331,21123,21100,0,62320,"{""prompt_tokens"": 4013, ""cached_tokens"": 4128, ""cache_hit_rate"": 0.9885, ""dominant"": ""MIX"", ""cpu_share"": 0.5, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,3,decode,27803.386,21123,21100,0,62320,"{""gen_tokens"": 725, ""tpot_est_ms"": 38.402, ""dominant"": ""MIX"", ""cpu_share"": 0.5, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,3,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,3,parse_action,0.017,0,0,0,0,"{""action"": ""list_dir"", ""fan_out"": 1, ""actions"": [""list_dir""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,3,tool_exec,0.646,0,0,0,0,"{""action"": ""list_dir"", ""fan_out"": 1, ""per_action_ms"": null, ""source"": ""tool"", ""obs_len"": 891, ""is_user_sim"": false, ""setup_ms"": 0.0919, ""subprocess_ms"": null, ""io_ms"": 0.5096, ""read_ms"": null, ""write_ms"": null, ""format_ms"": 0.0005, ""exit_code"": null, ""stdout_bytes"": null, ""stderr_bytes"": null, ""bytes_read"": null, ""bytes_written"": null, ""timeout"": null, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""cpu_inmem"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,3,format_obs,0.004,0,0,0,0,"{""history_len"": 10, ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,4,tokenize_prompt,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,4,submit_to_engine,0.0,0,0,0,0,"{""deferred"": ""fused into prefill"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,4,prefill,110.184,21121,21603,0,62767,"{""prompt_tokens"": 5129, ""cached_tokens"": 4176, ""cache_hit_rate"": 0.9214, ""dominant"": ""MIX"", ""cpu_share"": 0.494, ""resource_class"": ""gpu_compute"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,4,decode,21761.767,21121,21603,0,62767,"{""gen_tokens"": 558, ""tpot_est_ms"": 39.07, ""dominant"": ""MIX"", ""cpu_share"": 0.494, ""resource_class"": ""gpu_memory"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,4,detokenize,0.0,0,0,0,0,"{""deferred"": ""server-side"", ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""noop"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
20260705 18:10:30,vllm,Llama-3.2-1B,fp16,on,swebench_live_vllm_thor,0,4,parse_action,0.015,0,0,0,0,"{""action"": ""view_file"", ""fan_out"": 1, ""actions"": [""view_file""], ""dominant"": ""GPU"", ""cpu_share"": 0.0, ""resource_class"": ""host_python"", ""gpu_sat"": false, ""cpu_sat_1core"": false}"
