rep,per_array_mb,total_footprint_mb,n_kernels,bw_sustained_gbs,bw_mean_gbs,bw_median_gbs,bw_best_gbs,bw_worst_gbs,pct_peak_sustained
1,2,6,800,191.44,191.44,192.00,199.40,145.96,93.5
1,4,12,476,174.57,174.57,175.15,179.39,152.47,85.2
1,8,24,238,179.47,179.47,179.43,184.22,163.02,87.6
1,16,48,140,185.44,185.44,186.51,187.96,174.92,90.5
1,24,72,140,186.80,186.80,187.75,189.20,175.97,91.2
1,32,96,140,188.68,188.68,189.87,190.78,178.78,92.1
1,48,144,140,187.16,187.16,188.77,189.97,175.87,91.4
1,64,192,140,185.49,185.49,186.40,188.03,176.67,90.6
1,85,255,140,184.08,184.08,185.14,186.91,176.95,89.9
1,96,288,140,182.06,182.06,182.58,185.60,176.58,88.9
1,128,384,140,182.32,182.32,183.46,184.71,176.14,89.0
1,170,510,140,181.92,181.92,182.97,184.30,175.89,88.8
1,256,768,140,179.59,179.59,180.47,181.80,174.90,87.7
1,341,1023,140,178.41,178.41,179.55,180.55,174.00,87.1
1,512,1536,140,177.33,177.33,178.24,179.28,172.89,86.6
1,1024,3072,140,177.07,177.07,177.24,178.36,173.86,86.5
1,2048,6144,140,175.17,175.17,175.57,177.52,169.55,85.5
2,2,6,800,160.62,160.62,160.76,167.33,94.16,78.4
2,4,12,476,172.47,172.47,172.54,178.65,132.66,84.2
2,8,24,238,177.62,177.62,177.93,180.83,154.05,86.7
2,16,48,140,182.27,182.27,182.36,185.74,167.61,89.0
2,24,72,140,180.91,180.91,181.02,185.49,173.84,88.3
2,32,96,140,183.21,183.21,183.46,187.06,175.32,89.5
2,48,144,140,184.04,184.04,183.18,189.15,176.39,89.9
2,64,192,140,186.65,186.65,187.79,189.11,177.67,91.1
2,85,255,140,185.60,185.60,186.64,188.64,178.32,90.6
2,96,288,140,183.95,183.95,184.92,186.89,176.86,89.8
2,128,384,140,182.11,182.11,183.25,184.90,175.58,88.9
2,170,510,140,181.01,181.01,181.34,184.31,174.61,88.4
2,256,768,140,181.16,181.16,182.07,183.47,176.05,88.5
2,341,1023,140,178.07,178.07,179.15,180.24,173.12,86.9
2,512,1536,140,177.66,177.66,178.48,179.73,173.71,86.7
2,1024,3072,140,176.39,176.39,176.78,177.85,172.28,86.1
2,2048,6144,140,175.72,175.72,175.98,177.88,171.83,85.8
3,2,6,800,160.69,160.69,160.89,166.90,106.62,78.5
3,4,12,476,170.04,170.04,170.59,174.38,100.31,83.0
3,8,24,238,176.72,176.72,176.73,180.50,156.78,86.3
3,16,48,140,182.03,182.03,182.21,185.61,168.01,88.9
3,24,72,140,183.12,183.12,183.25,187.84,170.38,89.4
3,32,96,140,188.39,188.39,189.41,191.80,176.61,92.0
3,48,144,140,185.79,185.79,186.78,188.11,177.53,90.7
3,64,192,140,184.73,184.73,185.93,187.83,176.38,90.2
3,85,255,140,187.58,187.58,188.88,191.52,178.11,91.6
3,96,288,140,184.25,184.25,185.55,187.04,176.97,90.0
3,128,384,140,181.76,181.76,182.64,184.19,174.96,88.7
3,170,510,140,181.39,181.39,181.73,184.73,177.62,88.6
3,256,768,140,178.54,178.54,179.52,181.17,167.11,87.2
3,341,1023,140,178.06,178.06,179.04,180.41,171.96,86.9
3,512,1536,140,177.60,177.60,178.59,179.79,171.38,86.7
3,1024,3072,140,176.23,176.23,176.63,177.97,172.39,86.0
3,2048,6144,140,175.46,175.46,175.60,177.78,171.03,85.7
4,2,6,800,158.93,158.93,159.45,162.89,101.45,77.6
4,4,12,476,172.45,172.45,172.46,179.80,140.48,84.2
4,8,24,238,177.48,177.48,177.28,183.10,167.36,86.7
4,16,48,140,180.22,180.22,180.31,182.38,171.52,88.0
4,24,72,140,180.55,180.55,180.87,185.87,174.96,88.2
4,32,96,140,179.91,179.91,179.95,182.09,174.13,87.8
4,48,144,140,178.53,178.53,178.42,181.98,172.56,87.2
4,64,192,140,183.30,183.30,184.01,187.13,175.61,89.5
4,85,255,140,183.13,183.13,182.65,186.65,178.79,89.4
4,96,288,140,182.98,182.98,183.81,185.97,178.54,89.3
4,128,384,140,182.09,182.09,182.97,184.90,173.77,88.9
4,170,510,140,181.99,181.99,183.48,184.68,174.25,88.9
4,256,768,140,177.39,177.39,176.82,181.65,172.53,86.6
4,341,1023,140,177.41,177.41,178.46,179.81,172.90,86.6
4,512,1536,140,176.91,176.91,178.00,179.25,170.82,86.4
4,1024,3072,140,176.13,176.13,176.83,178.12,169.75,86.0
4,2048,6144,140,175.75,175.75,176.02,177.48,168.85,85.8
