rep,burst_len_M,per_array_mb,total_footprint_mb,bw_sustained_gbs,bw_mean_gbs,bw_median_gbs,bw_best_gbs,bw_worst_gbs,pct_peak_sustained
1,100,85,255,207.78,228.75,232.89,245.23,207.78,76.1
2,100,85,255,225.87,228.75,232.89,245.23,207.78,82.7
3,100,85,255,244.13,228.75,232.89,245.23,207.78,89.4
4,100,85,255,239.91,228.75,232.89,245.23,207.78,87.9
5,100,85,255,243.38,228.75,232.89,245.23,207.78,89.1
6,100,85,255,245.23,228.75,232.89,245.23,207.78,89.8
7,100,85,255,207.91,228.75,232.89,245.23,207.78,76.2
8,100,85,255,215.8,228.75,232.89,245.23,207.78,79.0
1,200,85,255,225.69,235.34,237.43,247.6,219.35,82.7
2,200,85,255,247.6,235.34,237.43,247.6,219.35,90.7
3,200,85,255,239.47,235.34,237.43,247.6,219.35,87.7
4,200,85,255,235.38,235.34,237.43,247.6,219.35,86.2
5,200,85,255,247.16,235.34,237.43,247.6,219.35,90.5
6,200,85,255,246.92,235.34,237.43,247.6,219.35,90.4
7,200,85,255,219.35,235.34,237.43,247.6,219.35,80.3
8,200,85,255,221.11,235.34,237.43,247.6,219.35,81.0
1,300,85,255,210.22,228.12,227.88,248.82,210.22,77.0
2,300,85,255,218.94,228.12,227.88,248.82,210.22,80.2
3,300,85,255,236.82,228.12,227.88,248.82,210.22,86.7
4,300,85,255,217.93,228.12,227.88,248.82,210.22,79.8
5,300,85,255,240.15,228.12,227.88,248.82,210.22,88.0
6,300,85,255,237.76,228.12,227.88,248.82,210.22,87.1
7,300,85,255,248.82,228.12,227.88,248.82,210.22,91.1
8,300,85,255,214.28,228.12,227.88,248.82,210.22,78.5
1,400,85,255,233.71,229.98,228.26,249.16,218.27,85.6
2,400,85,255,219.83,229.98,228.26,249.16,218.27,80.5
3,400,85,255,229.68,229.98,228.26,249.16,218.27,84.1
4,400,85,255,223.1,229.98,228.26,249.16,218.27,81.7
5,400,85,255,226.85,229.98,228.26,249.16,218.27,83.1
6,400,85,255,239.23,229.98,228.26,249.16,218.27,87.6
7,400,85,255,249.16,229.98,228.26,249.16,218.27,91.3
8,400,85,255,218.27,229.98,228.26,249.16,218.27,79.9
1,500,85,255,238.06,232.82,232.01,250.97,217.85,87.2
2,500,85,255,220.24,232.82,232.01,250.97,217.85,80.7
3,500,85,255,242.86,232.82,232.01,250.97,217.85,89.0
4,500,85,255,222.72,232.82,232.01,250.97,217.85,81.6
5,500,85,255,225.97,232.82,232.01,250.97,217.85,82.8
6,500,85,255,250.97,232.82,232.01,250.97,217.85,91.9
7,500,85,255,243.91,232.82,232.01,250.97,217.85,89.3
8,500,85,255,217.85,232.82,232.01,250.97,217.85,79.8
1,600,85,255,233.24,235.91,234.15,251.65,227.12,85.4
2,600,85,255,236.22,235.91,234.15,251.65,227.12,86.5
3,600,85,255,227.12,235.91,234.15,251.65,227.12,83.2
4,600,85,255,235.05,235.91,234.15,251.65,227.12,86.1
5,600,85,255,241.64,235.91,234.15,251.65,227.12,88.5
6,600,85,255,230.28,235.91,234.15,251.65,227.12,84.3
7,600,85,255,251.65,235.91,234.15,251.65,227.12,92.2
8,600,85,255,232.07,235.91,234.15,251.65,227.12,85.0
1,700,85,255,225.8,235.09,237.59,248.61,216.02,82.7
2,700,85,255,248.61,235.09,237.59,248.61,216.02,91.1
3,700,85,255,244.59,235.09,237.59,248.61,216.02,89.6
4,700,85,255,238.95,235.09,237.59,248.61,216.02,87.5
5,700,85,255,216.02,235.09,237.59,248.61,216.02,79.1
6,700,85,255,240.23,235.09,237.59,248.61,216.02,88.0
7,700,85,255,230.27,235.09,237.59,248.61,216.02,84.3
8,700,85,255,236.23,235.09,237.59,248.61,216.02,86.5
1,800,85,255,246.15,235.07,237.86,247.95,212.4,90.2
2,800,85,255,221.82,235.07,237.86,247.95,212.4,81.2
3,800,85,255,212.4,235.07,237.86,247.95,212.4,77.8
4,800,85,255,242.75,235.07,237.86,247.95,212.4,88.9
5,800,85,255,232.96,235.07,237.86,247.95,212.4,85.3
6,800,85,255,247.95,235.07,237.86,247.95,212.4,90.8
7,800,85,255,244.76,235.07,237.86,247.95,212.4,89.6
8,800,85,255,231.81,235.07,237.86,247.95,212.4,84.9
