per_array_mb,total_footprint_mb,n_kernels,bw_sustained_gbs,bw_mean_gbs,bw_median_gbs,bw_best_gbs,bw_worst_gbs,pct_peak_sustained
2,6,800,160.28,160.28,160.37,166.19,151.82,78.3
4,12,476,172.92,172.92,173.68,176.89,162.62,84.4
8,24,238,177.42,177.42,177.89,182.42,170.48,86.6
16,48,200,180.84,180.84,180.96,184.59,176.69,88.3
24,72,200,182.30,182.30,182.76,187.74,173.75,89.0
32,96,200,184.32,184.32,184.60,188.92,177.63,90.0
48,144,200,181.47,181.47,181.98,186.31,175.33,88.6
64,192,200,182.06,182.06,182.04,186.68,177.47,88.9
85,255,200,180.57,180.57,180.09,186.52,174.40,88.2
96,288,200,183.19,183.19,184.37,186.05,175.05,89.4
128,384,200,181.23,181.23,182.20,184.17,175.28,88.5
170,510,200,181.93,181.93,182.94,183.98,174.80,88.8
256,768,200,178.77,178.77,179.59,181.16,172.41,87.3
341,1023,200,177.96,177.96,179.14,180.37,171.89,86.9
512,1536,200,177.50,177.50,178.22,179.58,172.77,86.7
1024,3072,200,176.20,176.20,176.58,178.10,170.83,86.0
2048,6144,200,175.60,175.60,175.74,177.53,171.79,85.7
