per_array_mb,total_footprint_mb,reps,best_ms,bw_stream_3N_gbs,bw_wralloc_4N_gbs,pct_peak_stream
2,6,1000,0.0384,163.97,218.62,80.1
4,12,1000,0.0710,177.19,236.25,86.5
8,24,953,0.1365,184.30,245.73,90.0
16,48,476,0.2664,188.96,251.95,92.3
24,72,317,0.3990,189.20,252.27,92.4
32,96,238,0.5375,187.27,249.69,91.4
48,144,158,0.8108,186.22,248.30,90.9
64,192,119,1.0844,185.66,247.55,90.7
85,255,89,1.4330,186.59,248.79,91.1
96,288,79,1.6335,184.88,246.50,90.3
128,384,59,2.1854,184.24,245.66,90.0
170,510,44,2.9217,183.03,244.05,89.4
256,768,30,4.4549,180.77,241.02,88.3
341,1023,30,5.9939,178.96,238.62,87.4
512,1536,30,9.0490,177.99,237.32,86.9
1024,3072,30,18.1599,177.38,236.51,86.6
2048,6144,30,36.6100,175.98,234.63,85.9
