per_array_mb,total_footprint_mb,reps,bw_sustained_median_gbs,bw_sustained_std_gbs,bw_sustained_min_gbs,bw_sustained_max_gbs,orin_median_gbs,s_bw_ratio,pct_peak_sustained
2,6,8,750.3,10.8,733.2,768.1,,,274.8
4,12,8,1005.8,9.5,1000.5,1024.5,,,368.4
8,24,8,1363.9,20.5,1314.7,1364.5,,,499.6
16,48,8,276.6,24.5,250.5,316.3,183.2,1.51,101.3
24,72,8,250.1,13.7,236.5,275.3,,,91.6
32,96,8,259.5,11.2,241.0,271.5,185.2,1.401,95.0
48,144,8,242.7,9.4,225.0,259.0,,,88.9
64,192,8,237.6,15.5,197.7,247.8,185.1,1.284,87.0
85,255,8,229.6,9.8,218.1,241.7,184.4,1.245,84.1
96,288,8,231.3,10.9,207.2,247.9,,,84.7
128,384,8,241.7,8.4,218.4,245.1,182.2,1.326,88.5
170,510,8,228.2,8.6,220.5,247.8,,,83.6
256,768,8,234.8,10.1,211.7,245.9,180.3,1.302,86.0
341,1023,8,239.2,4.4,231.0,244.8,,,87.6
512,1536,8,242.6,1.9,238.3,243.3,177.3,1.368,88.9
1024,3072,8,241.3,1.0,238.3,241.6,176.3,1.369,88.4
2048,6144,8,239.8,0.3,239.1,240.2,175.8,1.364,87.8
