per_array_mb,total_footprint_mb,n_kernels,bw_sustained_gbs,bw_mean_gbs,bw_median_gbs,bw_best_gbs,bw_worst_gbs,pct_peak_sustained
2,6,800,742.81,742.81,768.00,847.45,301.08,272.1
4,12,476,1025.17,1025.17,1024.00,1213.63,968.51,375.5
8,24,238,1326.57,1326.57,1365.33,1387.01,850.20,485.9
16,48,140,245.87,245.87,246.92,261.45,223.48,90.1
24,72,140,285.20,285.20,286.91,290.30,268.07,104.5
32,96,140,266.30,266.30,267.13,270.88,252.51,97.5
48,144,140,258.20,258.20,259.61,261.93,249.16,94.6
64,192,140,250.96,250.96,251.09,255.06,245.74,91.9
85,255,140,208.77,208.77,208.72,214.73,198.84,76.5
96,288,140,248.41,248.41,249.67,252.71,237.07,91.0
128,384,140,250.33,250.33,250.40,253.52,244.27,91.7
170,510,140,240.86,240.86,241.43,245.28,229.76,88.2
256,768,140,238.82,238.82,239.18,244.16,228.21,87.5
341,1023,140,235.57,235.57,235.14,244.41,226.50,86.3
512,1536,140,239.30,239.30,239.70,243.18,228.65,87.7
1024,3072,140,241.09,241.09,241.42,242.84,237.75,88.3
2048,6144,140,239.88,239.88,240.03,240.97,236.78,87.9
