framework,quantization,prompt_tokens,gen_tokens,ttft_ms,tpot_ms,dec_w,e_tok_mj
llamacpp_fa,f16,128,32,30.64,20.831,,
llamacpp_fa,f16,128,4096,30.64,20.499,,
llamacpp_fa,f16,128,16384,30.61,22.097,,
llamacpp_fa,f16,128,32768,30.72,24.409,,
llamacpp_fa,f16,256,32,45.89,21.041,,
llamacpp_fa,f16,512,32,78.74,20.813,,
llamacpp_fa,f16,768,32,118.98,21.026,,
llamacpp_fa,f16,1024,32,151.78,21.24,,
llamacpp_fa,f16,1536,32,226.14,21.264,,
llamacpp_fa,f16,2048,32,303.45,21.412,,
llamacpp_fa,f16,3072,32,464.31,21.723,,
llamacpp_fa,f16,4096,32,638.01,21.987,,
llamacpp_fa,f16,6144,32,1004.49,22.686,,
llamacpp_fa,f16,8192,32,1411.61,23.697,,
llamacpp_fa,f16,12288,32,2339.26,24.049,,
llamacpp_fa,f16,16384,32,3406.59,25.157,,
