framework,quantization,prompt_tokens,gen_tokens,ttft_ms,tpot_ms,dec_w,e_tok_mj
llamacpp,f16,128,8192,32.96,23.11,46.44,1073.12
llamacpp,f16,128,16384,32.88,25.46,46.98,1196.0
llamacpp,f16,128,32768,33.25,30.64,48.5,1486.14
llamacpp,f16,128,65536,33.9,44.2,52.24,2309.04
llamacpp,f16,128,131072,34.11,71.67,54.25,3888.23
llamacpp_faon,f16_fa,128,16384,30.61,22.097,,
llamacpp_faon,f16_fa,128,32768,30.72,24.409,,
pytorch,bf16,128,8192,49.99,38.63,33.77,1304.39
pytorch,bf16,128,16384,45.76,36.47,38.03,1387.12
pytorch,bf16,128,32768,46.1,41.35,41.28,1706.71
pytorch,bf16,128,65536,45.51,56.78,42.78,2428.71
pytorch_compile,bf16,128,8192,23.96,28.28,46.52,1315.88
pytorch_compile,bf16,128,16384,23.95,43.15,48.72,2101.9
sglang,fp16_nocache,128,8192,48.35,23.28,41.24,959.88
sglang,fp16_nocache,128,16384,46.48,23.02,42.59,980.64
sglang,fp16_nocache,128,32768,47.35,22.69,46.28,1050.16
sglang,fp16_nocache,128,65536,47.37,24.94,48.48,1209.05
sglang,fp16_nocache,128,130560,47.15,31.59,49.44,1561.56
trtllm,fp16,128,16384,23.48,17.73,47.14,835.94
trtllm,fp16,128,32768,23.06,19.27,47.53,916.11
trtllm,fp16,128,65536,22.91,22.32,48.08,1073.32
trtllm,fp16,128,131072,22.74,28.43,48.77,1386.26
vllm,fp16_nocache,128,8192,35.39,20.06,44.98,902.15
vllm,fp16_nocache,128,16384,34.55,20.14,46.5,936.53
vllm,fp16_nocache,128,32768,35.03,21.6,48.14,1039.67
vllm,fp16_nocache,128,65536,34.71,24.3,50.1,1217.56
vllm,fp16_nocache,128,130944,34.79,30.48,51.87,1580.97
