framework,quant,tpot_ms,tps,pdecode_w,tok_per_j
llamacpp,f16,10.537,94.9,83.68,1.134
llamacpp,Q8_0,7.607,131.5,76.71,1.714
llamacpp,Q4_K_M,6.380,156.7,79.24,1.978
llamacpp,Q4_0,5.475,182.6,78.49,2.327
vllm,fp16,11.743,85.2,71.18,1.196
vllm,gguf_Q8_0,6.7433,148.3,71.66,2.069
vllm,gguf_Q4_K_M,6.4313,155.5,72.28,2.151
vllm,gguf_Q4_0,4.9800,200.8,76.02,2.641
sglang,fp16,10.658,93.8,70.06,1.339
sglang,gguf_Q4_K_M,6.2893,159.0,78.72,2.020
pytorch,bf16_eager,12.789,78.2,64.67,1.209
pytorch_compile,bf16,10.968,91.2,69.09,1.320
trtllm,fp16,10.961106300354004,91.2,74.05,1.232
trtllm,int8_sq,7.311524391174316,136.8,73.84,1.852
trtllm,int4_awq,3.124488353729248,320.1,80.01,4.000
trtllm,fp8,5.878884792327881,170.1,78.73,2.160
trtllm,nvfp4,3.675537586212158,272.1,77.66,3.503
pytorch,bnb_int8,41.406,24.2,47.47,0.509
pytorch,bnb_nf4,18.595,53.8,55.33,0.972
sglang,fp8,6.583,151.9,75.38,2.015
llamacpp,Q6_K,7.307,136.9,84.37,1.622
llamacpp,Q5_K_M,6.273,159.4,83.14,1.917
llamacpp,Q3_K_L,7.064,141.6,77.30,1.831
vllm,gguf_Q6_K,8.308,120.4,75.30,1.599
vllm,gguf_Q5_K_M,6.645,150.5,70.26,2.142
vllm,gguf_Q3_K_L,6.804,147.0,71.32,2.061
sglang,gguf_Q8_0,6.1500,162.6,78.06,2.083
sglang,gguf_Q6_K,7.752,129.0,79.76,1.617
sglang,gguf_Q5_K_M,6.624,151.0,76.63,1.970
sglang,gguf_Q4_0,4.3833,228.1,83.50,2.731
sglang,gguf_Q3_K_L,6.860,145.8,73.29,1.989
