framework,regime,baseline_median_ms,concurrent_median_ms,slowdown,n_baseline,n_concurrent,baseline_cv_pct,concurrent_cv_pct
vllm,grid,11.076,12.474,1.1262,310,187,2.1114,13.5452
vllm,tools,11.076,11.057,0.9983,310,219,2.1114,0.5989
vllm,cpu,11.076,11.083,1.0006,310,219,2.1114,2.2566
vllm,cpubw,11.076,14.9255,1.3476,310,162,2.1114,7.9797
vllm_eager,grid,11.58,13.196,1.1396,236,140,2.3173,15.156
vllm_eager,tools,11.58,11.582,1.0002,236,167,2.3173,0.6528
vllm_eager,cpu,11.58,11.6075,1.0024,236,168,2.3173,2.7072
vllm_eager,cpubw,11.58,16.0055,1.3822,236,126,2.3173,8.6461
pytorch,grid,12.452,15.894,1.2764,162,86,4.5885,16.8725
pytorch,tools,12.452,12.353,0.992,162,117,4.5885,3.4442
pytorch,cpu,12.452,12.4305,0.9983,162,114,4.5885,4.1295
pytorch,cpubw,12.452,20.389,1.6374,162,73,4.5885,13.2872
llamacpp,grid,6.8645,7.096,1.0337,134,79,2.6292,19.5329
llamacpp,tools,6.8645,6.851,0.998,134,96,2.6292,0.2643
llamacpp,cpu,6.8645,6.862,0.9996,134,96,2.6292,3.3963
llamacpp,cpubw,6.8645,9.2715,1.3506,134,72,2.6292,7.5752
